==> 3fe3:  CALL 4070h          PC:4070 AF:0044 BC:fff0 DE:f79b HL:adf3 SP:f797 IX:0000 IY:0000 Flags:01000100 [cd 70 40]
==> 4070:  LD (0a07h), A       PC:4073 AF:0044 BC:fff0 DE:f79b HL:adf3 SP:f797 IX:0000 IY:0000 Flags:01000100 [32 07 0a]
==> 4073:  LD HL, 0a67h        PC:4076 AF:0044 BC:fff0 DE:f79b HL:0a67 SP:f797 IX:0000 IY:0000 Flags:01000100 [21 67 0a]
==> 4076:  LD (HL), 20h        PC:4078 AF:0044 BC:fff0 DE:f79b HL:0a67 SP:f797 IX:0000 IY:0000 Flags:01000100 [36 20 c9]
==> 4078:  RET                 PC:3fe6 AF:0044 BC:fff0 DE:f79b HL:0a67 SP:f799 IX:0000 IY:0000 Flags:01000100 [c9 fe 05]
==> 3fe6:  OR A, (HL)          PC:3fe7 AF:2020 BC:fff0 DE:f79b HL:0a67 SP:f799 IX:0000 IY:0000 Flags:00100000 [b6 cd 0a]
==> 3fe7:  CALL 400ah          PC:400a AF:2020 BC:fff0 DE:f79b HL:0a67 SP:f797 IX:0000 IY:0000 Flags:00100000 [cd 0a 40]
==> 400a:  INC HL              PC:400b AF:2020 BC:fff0 DE:f79b HL:0a68 SP:f797 IX:0000 IY:0000 Flags:00100000 [23 36 30]
==> 400b:  LD (HL), 30h        PC:400d AF:2020 BC:fff0 DE:f79b HL:0a68 SP:f797 IX:0000 IY:0000 Flags:00100000 [36 30 3a]
==> 400d:  LD A, (0a07h)       PC:4010 AF:0020 BC:fff0 DE:f79b HL:0a68 SP:f797 IX:0000 IY:0000 Flags:00100000 [3a 07 0a]
==> 4010:  LD D, A             PC:4011 AF:0020 BC:fff0 DE:009b HL:0a68 SP:f797 IX:0000 IY:0000 Flags:00100000 [57 17 3a]
==> 4011:  RLA                 PC:4012 AF:0000 BC:fff0 DE:009b HL:0a68 SP:f797 IX:0000 IY:0000 Flags:00000000 [17 3a d1]
==> 4012:  LD A, (09d1h)       PC:4015 AF:0200 BC:fff0 DE:009b HL:0a68 SP:f797 IX:0000 IY:0000 Flags:00000000 [3a d1 09]
==> 4015:  JP C, 40dch         PC:4018 AF:0200 BC:fff0 DE:009b HL:0a68 SP:f797 IX:0000 IY:0000 Flags:00000000 [da dc 40]
==> 4018:  JP Z, 40d4h         PC:401b AF:0200 BC:fff0 DE:009b HL:0a68 SP:f797 IX:0000 IY:0000 Flags:00000000 [ca d4 40]
==> 401b:  CP A, 04h           PC:401d AF:0293 BC:fff0 DE:009b HL:0a68 SP:f797 IX:0000 IY:0000 Flags:10010011 [fe 04 d2]
==> 401d:  JP NC, 4079h        PC:4020 AF:0293 BC:fff0 DE:009b HL:0a68 SP:f797 IX:0000 IY:0000 Flags:10010011 [d2 79 40]
==> 4020:  LD BC, 0000h        PC:4023 AF:0293 BC:0000 DE:009b HL:0a68 SP:f797 IX:0000 IY:0000 Flags:10010011 [01 00 00]
==> 4023:  CALL 439ch          PC:439c AF:0293 BC:0000 DE:009b HL:0a68 SP:f795 IX:0000 IY:0000 Flags:10010011 [cd 9c 43]
==> 439c:  PUSH DE             PC:439d AF:0293 BC:0000 DE:009b HL:0a68 SP:f793 IX:0000 IY:0000 Flags:10010011 [d5 11 47]
